year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1926;Indonesia;;Not specified;;Not specified;;Not specified;;Not specified;7.27;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.31455283232408
1926;Nicaragua;;Not specified;;Not specified;;Not specified;135;50-410;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.17438726989564
1926;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1926;Chile;;Not specified;;Not specified;;Not specified;33;10-50;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.85646198459459
1926;Albania;;Not specified;;Not specified;;Not specified;;Not specified;5.87;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.26267987704132
1927;Mexico;1;0-1000;;Not specified;1;0-100;;Not specified;5.8;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1820;Congo;;Not specified;;Not specified;;Not specified;;Not specified;6.2;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;5;
1821;Romania;;Not specified;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;3.61091791264422
1822;Costa Rica;;Not specified;;Not specified;;Not specified;;Not specified;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.56434819146784
1822;China;23;0-1000;20;0-100;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1823;Indonesia;;Not specified;;Not specified;;Not specified;150;50-410;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.31455283232408
1824;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.56807791141198
1825;Greece;58;0-1000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;5.2257466737132
1825;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.56807791141198
1826;Colombia;;Not specified;;Not specified;;Not specified;;Not specified;8.2;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.15905529921453
1827;China;84;0-1000;;Not specified;;Not specified;;Not specified;5.46;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1827;Colombia;250;0-1000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;5.15905529921453
1828;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1828;Azerbaijan;;Not specified;;Not specified;;Not specified;10;10-50;5.7;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;3.71357206670431
1829;Russia;;Not specified;;Not specified;;Not specified;40;10-50;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.12249280951439
1829;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1829;China;200;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1830;Russia;40;0-1000;;Not specified;;Not specified;16;10-50;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.12249280951439
1830;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1830;China;7477;1000-10000;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1831;China;33;0-1000;;Not specified;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1833;Albania;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.26267987704132
1833;India;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.15905529921453
1833;China;6700;1000-10000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;7.37337430991005
1834;Colombia;80;0-1000;;Not specified;;Not specified;5;0-10;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;5.15905529921453
1834;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1834;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1834;China;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;7.37337430991005
1834;Romania;;Not specified;;Not specified;;Not specified;32;10-50;6.8;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;3.61091791264422
1834;China;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1834;China;88;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1835;Chile;50;0-1000;500;500-2000;;Not specified;;Not specified;7.44;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.85646198459459
1837;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1837;China;37;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1837;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1837;Chile;16;0-1000;;Not specified;;Not specified;;Not specified;7.6;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.85646198459459
1837;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1838;Romania;;Not specified;;Not specified;;Not specified;150;50-410;6.9;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;3.61091791264422
1838;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.52209279817015
1839;China;100;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1839;China;129;0-1000;18;0-100;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1839;Taiwan;117;0-1000;534;500-2000;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
1840;Indonesia;;Not specified;;Not specified;;Not specified;150;50-410;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.31455283232408
1840;Philippines;17;0-1000;200;100-500;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.23832462503951
1840;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.52209279817015
1841;Russia;;Not specified;;Not specified;;Not specified;30;10-50;8.4;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.12249280951439
1842;Haiti;5000;1000-10000;;Not specified;;Not specified;;Not specified;7.39;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;3.17805383034795
1842;China;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1842;Bangladesh;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;2.70805020110221
1843;New Zealand;;Not specified;;Not specified;;Not specified;33;10-50;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.65948221575962
1844;Iran;1500;1000-10000;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1844;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1844;Nicaragua;;Not specified;;Not specified;;Not specified;;Not specified;6.98;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.17438726989564
1845;Indonesia;118;0-1000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.31455283232408
1845;Taiwan;380;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
1845;India;;Not specified;;Not specified;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;5.15905529921453
1846;Italy;56;0-1000;;Not specified;;Not specified;5;0-10;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.93447393313069
1846;India;;Not specified;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.15905529921453
1847;Japan;12000;10000-100000;;Not specified;;Not specified;;Not specified;6.98;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1847;Chile;;Not specified;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.85646198459459
1848;New Zealand;3;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.65948221575962
1848;Taiwan;1001;1000-10000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;
1849;Colombia;40;0-1000;;Not specified;;Not specified;13;10-50;6;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.15905529921453
1849;Chile;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.85646198459459
1850;China;20650;10000-100000;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1850;China;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;7.37337430991005
1851;Chile;;Not specified;;Not specified;;Not specified;;Not specified;6.79;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.85646198459459
1851;Chile;;Not specified;;Not specified;;Not specified;;Not specified;6.85;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.85646198459459
1852;Iran;2000;1000-10000;;Not specified;;Not specified;10;10-50;5.8;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.56807791141198
1852;China;300;0-1000;400;100-500;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1852;Turkey;17;0-1000;;Not specified;;Not specified;;Not specified;7.3;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1852;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1853;Venezuela;1000;1000-10000;;Not specified;;Not specified;14;10-50;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;4.24849524204936
1854;Costa Rica;;Not specified;;Not specified;;Not specified;;Not specified;6.85;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.56434819146784
1854;Costa Rica;;Not specified;;Not specified;;Not specified;;Not specified;6.85;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.56434819146784
1854;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1855;New Zealand;;Not specified;;Not specified;;Not specified;33;10-50;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.65948221575962
1855;Turkey;1900;1000-10000;;Not specified;;Not specified;;Not specified;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1855;Turkey;1300;1000-10000;;Not specified;;Not specified;;Not specified;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1855;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;6;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.52209279817015
1855;Japan;6757;1000-10000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1855;China;7;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1855;China;;Not specified;;Not specified;;Not specified;;Not specified;5.02;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;7.37337430991005
1856;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;5.5;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.52209279817015
-2150;Jordan;;Not specified;;Not specified;;Not specified;;Not specified;7.3;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;1.09861228866811
-2000;Turkmenistan;1;0-1000;;Not specified;;Not specified;18;10-50;6.79;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.63758615972639
-1250;Palestine;;Not specified;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
-1050;Jordan;;Not specified;;Not specified;;Not specified;;Not specified;6.2;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;1.09861228866811
-426;Greece;2500;1000-10000;;Not specified;;Not specified;;Not specified;6.79;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.2257466737132
-400;Iran;;Not specified;;Not specified;;Not specified;;Not specified;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
-373;Greece;;Not specified;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;5.2257466737132
-250;Kyrgyzstan;;Not specified;;Not specified;;Not specified;20;10-50;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;
-193;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.37337430991005
-186;China;760;0-1000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.37337430991005
-70;China;6000;1000-10000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
-58;Albania;;Not specified;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.26267987704132
-50;Georgia;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;3.58351893845611
-31;Palestine;;Not specified;;Not specified;;Not specified;;Not specified;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
-26;China;13;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
10;Turkmenistan;;Not specified;;Not specified;;Not specified;18;10-50;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.63758615972639
27;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
46;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
62;Greece;;Not specified;;Not specified;;Not specified;;Not specified;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.2257466737132
89;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
100;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
115;Turkey;260000;100000-850000;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.02344759296103
120;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.85;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
123;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
128;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
138;China;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
142;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.02344759296103
143;China;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
180;China;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
243;Italy;;Not specified;;Not specified;;Not specified;;Not specified;5.3;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.93447393313069
294;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
294;China;101;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
304;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
362;Jordan;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;1.09861228866811
368;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.02344759296103
427;Azerbaijan;;Not specified;;Not specified;;Not specified;12;10-50;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.71357206670431
478;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.85;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
500;Kyrgyzstan;;Not specified;;Not specified;;Not specified;20;10-50;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
501;North Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
510;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
512;China;5130;1000-10000;2720;2000-10000;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
525;Turkey;250000;100000-850000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
528;Turkey;4870;1000-10000;;Not specified;;Not specified;;Not specified;6.79;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
543;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
551;Greece;5000;1000-10000;;Not specified;;Not specified;;Not specified;6.79;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.2257466737132
649;China;50;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
664;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
734;China;101;0-1000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
735;Armenia;;Not specified;;Not specified;;Not specified;16;10-50;5.8;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;1.6094379124341
740;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
743;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.85;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.56807791141198
743;Russia;;Not specified;;Not specified;;Not specified;20;10-50;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.12249280951439
744;Japan;1520;1000-10000;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
745;Japan;;Not specified;;Not specified;;Not specified;;Not specified;7.27;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
745;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
746;Palestine;;Not specified;;Not specified;;Not specified;;Not specified;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;
763;Iran;;Not specified;;Not specified;;Not specified;;Not specified;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
766;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
778;Italy;48;0-1000;;Not specified;;Not specified;;Not specified;5.6;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.93447393313069
780;South Korea;100;0-1000;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
788;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
814;China;101;0-1000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.37337430991005
818;Japan;;Not specified;;Not specified;;Not specified;;Not specified;7.27;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
850;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
851;Armenia;12000;10000-100000;;Not specified;;Not specified;10;10-50;5.38;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;1.6094379124341
856;Iran;200000;100000-850000;;Not specified;;Not specified;;Not specified;7.27;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.56807791141198
863;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
871;Iran;20000;10000-100000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.56807791141198
876;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
891;Iran;;Not specified;;Not specified;;Not specified;20;10-50;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.56807791141198
894;Italy;;Not specified;;Not specified;;Not specified;;Not specified;5.3;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.93447393313069
942;Uzbekistan;;Not specified;;Not specified;;Not specified;20;10-50;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;3.46573590279973
953;Turkmenistan;;Not specified;;Not specified;;Not specified;18;10-50;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.63758615972639
978;Iran;2000;1000-10000;;Not specified;;Not specified;;Not specified;5.46;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.56807791141198
999;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1001;Italy;;Not specified;;Not specified;;Not specified;;Not specified;6;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.93447393313069
1008;Iran;16000;10000-100000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1022;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1036;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;5.7;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;2.99573227355399
1038;China;32300;10000-100000;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1039;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1042;Iran;50000;10000-100000;;Not specified;;Not specified;15;10-50;7.6;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.56807791141198
1046;Turkey;;Not specified;;Not specified;;Not specified;15;10-50;5.5;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.02344759296103
1927;Japan;3022;1000-10000;3295;2000-10000;40;0-100;10;10-50;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1927;China;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1927;China;7;0-1000;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;7.37337430991005
