year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1994;Iran;;Not specified;;Not specified;;Not specified;33;Not specified;5.38;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;36.6877;0-100;;6.56807791141198
1994;Tunisia;;Not specified;;Not specified;;Not specified;10;Not specified;5.2;5-6;;Not specified;-30.95;<0;16420;0-500000;;Not specified;58.8513;0-100;;2.19722457733622
1994;Turkey;;Not specified;;Not specified;;Not specified;8.8;Not specified;5.1;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.02344759296103
1994;Thailand;;Not specified;;Not specified;;Not specified;33;Not specified;5.38;5-6;;Not specified;-30.95;<0;137060;0-500000;0.8;0-2;114.721;100-200;;1.79175946922805
1994;Colombia;;Not specified;;Not specified;;Not specified;13.6;Not specified;6.1;6-7;;Not specified;-30.95;<0;56780;0-500000;;Not specified;31.812;0-100;;5.15905529921453
1994;United States of America;;Not specified;;Not specified;;Not specified;-0.942;Not specified;5.29;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1994;United States of America;;Not specified;;Not specified;;Not specified;14;Not specified;5.79;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1995;Indonesia;;Not specified;;Not specified;;Not specified;33;Not specified;5.38;5-6;27.7778;20-30;-28.65;<0;223680;0-500000;;Not specified;109.375;100-200;;7.31455283232408
1995;Colombia;;Not specified;;Not specified;;Not specified;33;Not specified;5.46;5-6;12.8333;10-20;-28.65;<0;59310;0-500000;;Not specified;32.4201;0-100;;5.15905529921453
1995;Colombia;;Not specified;;Not specified;;Not specified;33;Not specified;5.38;5-6;12.8333;10-20;-28.65;<0;59310;0-500000;;Not specified;32.4201;0-100;;5.15905529921453
1995;Indonesia;;Not specified;;Not specified;;Not specified;26.8;Not specified;5.46;5-6;27.7778;20-30;-28.65;<0;223680;0-500000;;Not specified;109.375;100-200;;7.31455283232408
1995;Papua New Guinea;;Not specified;;Not specified;;Not specified;62.2;Not specified;6.03;6-7;;Not specified;-28.65;<0;2130;0-500000;;Not specified;10.194;0-100;;7.22766249872865
1995;Argentina;;Not specified;;Not specified;;Not specified;118.8;Not specified;5.1;5-6;24.5;20-30;-28.65;<0;112890;0-500000;2.2;2-5;12.7695;0-100;;6.12905021006055
1995;Chile;;Not specified;;Not specified;;Not specified;5;Not specified;5.2;5-6;;Not specified;-28.65;<0;38970;0-500000;;Not specified;19.3896;0-100;;6.85646198459459
1995;Indonesia;;Not specified;;Not specified;;Not specified;56.7;Not specified;5.55;5-6;27.7778;20-30;-28.65;<0;223680;0-500000;;Not specified;109.375;100-200;;7.31455283232408
1995;Indonesia;;Not specified;;Not specified;;Not specified;78.2;Not specified;5.38;5-6;27.7778;20-30;-28.65;<0;223680;0-500000;;Not specified;109.375;100-200;;7.31455283232408
1995;Mexico;;Not specified;;Not specified;;Not specified;159.3;Not specified;6.85;6-7;14.5556;10-20;-28.65;<0;306840;0-500000;;Not specified;46.2818;0-100;;6.02344759296103
1995;Ecuador;;Not specified;;Not specified;;Not specified;12.3;Not specified;5.87;5-6;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
1995;Afghanistan;;Not specified;;Not specified;;Not specified;222.7;Not specified;6.25;6-7;;Not specified;-28.65;<0;1240;0-500000;;Not specified;25.1735;0-100;;5.9427993751267
1995;Iran;;Not specified;;Not specified;;Not specified;33;Not specified;5.38;5-6;;Not specified;-28.65;<0;;Not specified;0.9;0-2;36.8291;0-100;;6.56807791141198
1995;United States of America;;Not specified;;Not specified;;Not specified;9.1;Not specified;6.03;6-7;;Not specified;-28.65;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1995;Ecuador;;Not specified;;Not specified;;Not specified;33;Not specified;5.46;5-6;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
